month,proposal_count,vote_count,voting_power,executed_spend_usd,cost_per_vote_usd,cost_per_voting_power_usd
2024-03,2,0,1366.0,37689.53,,27.591168
2024-04,1,39,790.0,0.0,0.0,0.0
2024-05,4,139,3294.0,15547.39,111.85,4.719911
2024-06,3,87,2849.0,15886.9,182.61,5.576307
2024-07,7,210,7358.0,30728.09,146.32,4.176147
2024-08,8,207,9306.0,65161.85,314.79,7.002133
2024-09,2,44,1311.0,9851.09,223.89,7.514181
2024-10,3,85,3098.0,9024.46,106.17,2.912994
2024-11,2,65,1992.0,5100.0,78.46,2.560241
2024-12,1,27,754.0,6719.69,248.88,8.912057
2025-01,3,70,2488.0,8550.0,122.14,3.436495
2025-02,2,43,2018.0,13935.19,324.07,6.905448
2025-03,2,47,1723.0,3292.0,70.04,1.910621
2025-04,2,53,1864.0,3850.0,72.64,2.065451
2025-05,1,45,1193.0,0.0,0.0,0.0
2025-06,1,20,788.0,10532.36,526.62,13.365943
2025-07,2,38,1581.0,2060.0,54.21,1.302973
2025-08,1,31,901.0,6353.36,204.95,7.051454
2025-09,1,19,615.0,0.0,0.0,0.0
2025-10,1,19,726.0,9580.89,504.26,13.196824
2025-11,2,40,1679.0,1432.04,35.8,0.852911
2025-12,0,0,0.0,2500.0,,
2026-03,1,24,1014.0,1570.0,65.42,1.548323
