record_type,record_id,kind,label,source,target,status,size,asset_symbol,weight,count,href,metrics_json
node,person:0x0000000000000000000000000000000000000000,person,0x0000...0000,,,active,14.0,,,,/community/0x0000-0000/,"{""eth_received"": 0.0, ""usdc_received"": 0.0, ""gnars_received"": 0.0, ""active_votes"": 0, ""proposals_authored"": 0}"
node,person:0x0007796d3b5bae6e3960ecb639bc159f6c1dcdf0,person,0x0007...cdf0,,,active,20.93,,,,/community/0x0007-cdf0/,"{""eth_received"": 0.0, ""usdc_received"": 0.0, ""gnars_received"": 0.0, ""active_votes"": 1, ""proposals_authored"": 0}"
node,person:0x000ab07b26c48ef3caf9ec23520d86794c9fd74a,person,0x000a...d74a,,,active,52.5,,,,/community/0x000a-d74a/,"{""eth_received"": 0.0, ""usdc_received"": 0.0, ""gnars_received"": 0.0, ""active_votes"": 46, ""proposals_authored"": 0}"
node,person:0x0020d02026e6e82a8f002024a418c0f486bc597e,person,0x0020...597e,,,active,90.22,,,,/community/0x0020-597e/,"{""eth_received"": 0.0, ""usdc_received"": 2042.0, ""gnars_received"": 0.0, ""active_votes"": 0, ""proposals_authored"": 0}"
node,person:0x002f1a92416254e6ac1862946b2e68b1b8efd21d,person,0x002f...d21d,,,active,20.93,,,,/community/0x002f-d21d/,"{""eth_received"": 0.0, ""usdc_received"": 0.0, ""gnars_received"": 0.0, ""active_votes"": 1, ""proposals_authored"": 0}"
node,person:0x0040daac32d83c78546ae36da42a496b28ab09e1,person,0x0040...09e1,,,active,20.93,,,,/community/0x0040-09e1/,"{""eth_received"": 0.0, ""usdc_received"": 0.0, ""gnars_received"": 0.0, ""active_votes"": 1, ""proposals_authored"": 0}"
node,person:0x0047678bf3654524a8200c4edb34bab734fa01ee,person,0x0047...01ee,,,active,20.93,,,,/community/0x0047-01ee/,"{""eth_received"": 0.0, ""usdc_received"": 0.0, ""gnars_received"": 0.0, ""active_votes"": 1, ""proposals_authored"": 0}"
node,person:0x00c800c446b956bb5ac554d1226f9be9d8930b26,person,0x00c8...0b26,,,active,14.0,,,,/community/0x00c8-0b26/,"{""eth_received"": 0.0, ""usdc_received"": 0.0, ""gnars_received"": 0.0, ""active_votes"": 0, ""proposals_authored"": 0}"
node,person:0x014b13da9085aa24bb8b2ad17da4cab0a25c89c2,person,0x014b...89c2,,,active,14.0,,,,/community/0x014b-89c2/,"{""eth_received"": 0.0, ""usdc_received"": 0.0, ""gnars_received"": 0.0, ""active_votes"": 0, ""proposals_authored"": 0}"
node,person:0x015be7b4eb2f2b52e21331a7c43b36dbaa3e02c1,person,0x015b...02c1,,,active,34.79,,,,/community/0x015b-02c1/,"{""eth_received"": 0.0, ""usdc_received"": 0.0, ""gnars_received"": 0.0, ""active_votes"": 7, ""proposals_authored"": 0}"
node,person:0x0182690c80f357aaea99ecca8b23e53b0725ccb9,person,0x0182...ccb9,,,active,14.0,,,,/community/0x0182-ccb9/,"{""eth_received"": 0.0, ""usdc_received"": 0.0, ""gnars_received"": 0.0, ""active_votes"": 0, ""proposals_authored"": 0}"
node,person:0x01b5386db2a6a59818a33f1203b835826977b2cb,person,0x01b5...b2cb,,,active,41.08,,,,/community/0x01b5-b2cb/,"{""eth_received"": 0.0, ""usdc_received"": 0.0, ""gnars_received"": 0.0, ""active_votes"": 14, ""proposals_authored"": 0}"
node,person:0x01d69ca58714585ca79524a8551e2aa4428cdb04,person,0x01d6...db04,,,active,20.93,,,,/community/0x01d6-db04/,"{""eth_received"": 0.0, ""usdc_received"": 0.0, ""gnars_received"": 0.0, ""active_votes"": 1, ""proposals_authored"": 0}"
node,person:0x020d263b1779dd8d5f54b97ff4f9ffb8dabf497f,person,0x020d...497f,,,active,43.44,,,,/community/0x020d-497f/,"{""eth_received"": 0.0, ""usdc_received"": 0.0, ""gnars_received"": 0.0, ""active_votes"": 18, ""proposals_authored"": 0}"
node,person:0x021edd67d43b365a6401a5ee704aa6f264f3f4e4,person,0x021e...f4e4,,,active,33.46,,,,/community/0x021e-f4e4/,"{""eth_received"": 0.0, ""usdc_received"": 0.0, ""gnars_received"": 0.0, ""active_votes"": 6, ""proposals_authored"": 0}"
node,person:0x023ef0238f8d1ae6a728af2442ebc53dd96908dd,person,0x023e...08dd,,,active,14.0,,,,/community/0x023e-08dd/,"{""eth_received"": 0.0, ""usdc_received"": 0.0, ""gnars_received"": 0.0, ""active_votes"": 0, ""proposals_authored"": 0}"
node,person:0x0260c74a0bb58dde08092140ac05bf1143abb5f7,person,0x0260...b5f7,,,active,20.93,,,,/community/0x0260-b5f7/,"{""eth_received"": 0.0, ""usdc_received"": 0.0, ""gnars_received"": 0.0, ""active_votes"": 1, ""proposals_authored"": 0}"
node,person:0x033788c80cea5c6c48d63e937a1754bb49ec8f66,person,0x0337...8f66,,,active,20.93,,,,/community/0x0337-8f66/,"{""eth_received"": 0.0, ""usdc_received"": 0.0, ""gnars_received"": 0.0, ""active_votes"": 1, ""proposals_authored"": 0}"
node,person:0x03446784ce13ecc6a505658316e5a903a1ea963d,person,0x0344...963d,,,active,20.93,,,,/community/0x0344-963d/,"{""eth_received"": 0.0, ""usdc_received"": 0.0, ""gnars_received"": 0.0, ""active_votes"": 1, ""proposals_authored"": 0}"
node,person:0x038b4609fe1fcac105496ffb415a6717d6f972fc,person,0x038b...72fc,,,active,20.93,,,,/community/0x038b-72fc/,"{""eth_received"": 0.0, ""usdc_received"": 0.0, ""gnars_received"": 0.0, ""active_votes"": 1, ""proposals_authored"": 0}"
node,person:0x03cb70aa8dbe7548dd4f3ace7e60575e8722e163,person,0x03cb...e163,,,active,20.93,,,,/community/0x03cb-e163/,"{""eth_received"": 0.0, ""usdc_received"": 0.0, ""gnars_received"": 0.0, ""active_votes"": 1, ""proposals_authored"": 0}"
node,person:0x03d60eed583c62bd15011f088a767163eb04d7e1,person,0x03d6...d7e1,,,active,20.93,,,,/community/0x03d6-d7e1/,"{""eth_received"": 0.0, ""usdc_received"": 0.0, ""gnars_received"": 0.0, ""active_votes"": 1, ""proposals_authored"": 0}"
node,person:0x03ebb75a6470a02f6ccdf92672f027b7b73b7aea,person,0x03eb...7aea,,,active,30.09,,,,/community/0x03eb-7aea/,"{""eth_received"": 0.0, ""usdc_received"": 0.0, ""gnars_received"": 0.0, ""active_votes"": 4, ""proposals_authored"": 0}"
node,person:0x042157f8132f3a1e351d4c309098db174e9f5de6,person,0x0421...5de6,,,active,27.86,,,,/community/0x0421-5de6/,"{""eth_received"": 0.0, ""usdc_received"": 0.0, ""gnars_received"": 0.0, ""active_votes"": 3, ""proposals_authored"": 0}"
node,person:0x046beb5a133a8b4b415b3211a8c57dfc7ea7b93a,person,0x046b...b93a,,,active,20.93,,,,/community/0x046b-b93a/,"{""eth_received"": 0.0, ""usdc_received"": 0.0, ""gnars_received"": 0.0, ""active_votes"": 1, ""proposals_authored"": 0}"
node,person:0x049569adb8a1e8a9349e9f1111c7b7993a4612eb,person,0x0495...12eb,,,active,33.46,,,,/community/0x0495-12eb/,"{""eth_received"": 0.0, ""usdc_received"": 0.0, ""gnars_received"": 0.0, ""active_votes"": 6, ""proposals_authored"": 0}"
node,person:0x0501f97dd89a7eec0f8646e39a0b9d0bd608cf31,person,0x0501...cf31,,,active,20.93,,,,/community/0x0501-cf31/,"{""eth_received"": 0.0, ""usdc_received"": 0.0, ""gnars_received"": 0.0, ""active_votes"": 1, ""proposals_authored"": 0}"
node,person:0x056d8e22759a9ae9359a21749c6d7d6c12d97177,person,0x056d...7177,,,active,31.92,,,,/community/0x056d-7177/,"{""eth_received"": 0.0, ""usdc_received"": 0.0, ""gnars_received"": 0.0, ""active_votes"": 5, ""proposals_authored"": 0}"
node,person:0x056e2bd65fe2d6baaf3097809843ed860145d334,person,0x056e...d334,,,active,35.97,,,,/community/0x056e-d334/,"{""eth_received"": 0.0, ""usdc_received"": 0.0, ""gnars_received"": 0.0, ""active_votes"": 8, ""proposals_authored"": 0}"
node,person:0x057cfcd04198e6d17f1bf502135d9508b6fa2fde,person,0x057c...2fde,,,active,79.16,,,,/community/0x057c-2fde/,"{""eth_received"": 0.0, ""usdc_received"": 612.0, ""gnars_received"": 0.0, ""active_votes"": 59, ""proposals_authored"": 1}"
node,person:0x05a1ff0a32bc24265bcb39499d0c5d9a6cb2011c,person,0x05a1...011c,,,active,42.33,,,,/community/0x05a1-011c/,"{""eth_received"": 0.0, ""usdc_received"": 0.0, ""gnars_received"": 0.0, ""active_votes"": 16, ""proposals_authored"": 0}"
node,person:0x05c73ecef963fd68a414e713f4b28d9e792c73bd,person,0x05c7...73bd,,,active,38.64,,,,/community/0x05c7-73bd/,"{""eth_received"": 0.75, ""usdc_received"": 0.0, ""gnars_received"": 0.0, ""active_votes"": 6, ""proposals_authored"": 1}"
node,person:0x05e189e1bbaf77f1654f0983872fd938ae592edd,person,0x05e1...2edd,,,active,30.09,,,,/community/0x05e1-2edd/,"{""eth_received"": 0.0, ""usdc_received"": 0.0, ""gnars_received"": 0.0, ""active_votes"": 0, ""proposals_authored"": 1}"
node,person:0x06905d36029c0cc9b8948b620a793f093ae49cad,person,0x0690...9cad,,,active,24.99,,,,/community/0x0690-9cad/,"{""eth_received"": 0.0, ""usdc_received"": 0.0, ""gnars_received"": 0.0, ""active_votes"": 2, ""proposals_authored"": 0}"
node,person:0x069da1bad547d67abf26c42358d3a6a8a78deca0,person,0x069d...eca0,,,active,60.54,,,,/community/0x069d-eca0/,"{""eth_received"": 0.0, ""usdc_received"": 0.0, ""gnars_received"": 0.0, ""active_votes"": 100, ""proposals_authored"": 1}"
node,person:0x06a5af2b91b629cb18a39bf5558f83c291f9a2b1,person,0x06a5...a2b1,,,active,27.86,,,,/community/0x06a5-a2b1/,"{""eth_received"": 0.0, ""usdc_received"": 0.0, ""gnars_received"": 0.0, ""active_votes"": 3, ""proposals_authored"": 0}"
node,person:0x06ae622bf2029db79bdebd38f723f1f33f95f6c5,person,0x06ae...f6c5,,,active,20.93,,,,/community/0x06ae-f6c5/,"{""eth_received"": 0.0, ""usdc_received"": 0.0, ""gnars_received"": 0.0, ""active_votes"": 1, ""proposals_authored"": 0}"
node,person:0x0707375efa1288a857640b1c51b4741e1167b9b3,person,0x0707...b9b3,,,active,24.99,,,,/community/0x0707-b9b3/,"{""eth_received"": 0.0, ""usdc_received"": 0.0, ""gnars_received"": 0.0, ""active_votes"": 2, ""proposals_authored"": 0}"
node,person:0x07587c046d4d4bd97c2d64edbfab1c1fe28a10e5,person,0x0758...10e5,,,active,31.92,,,,/community/0x0758-10e5/,"{""eth_received"": 0.0, ""usdc_received"": 0.0, ""gnars_received"": 0.0, ""active_votes"": 5, ""proposals_authored"": 0}"
node,person:0x07890858904dd9c47b567d1319c2c558a0473b9f,person,0x0789...3b9f,,,active,33.46,,,,/community/0x0789-3b9f/,"{""eth_received"": 0.0, ""usdc_received"": 0.0, ""gnars_received"": 0.0, ""active_votes"": 6, ""proposals_authored"": 0}"
node,person:0x07ef0d75c2a7a7ebc2ee8d449efd8542abd53a8c,person,0x07ef...3a8c,,,active,20.93,,,,/community/0x07ef-3a8c/,"{""eth_received"": 0.0, ""usdc_received"": 0.0, ""gnars_received"": 0.0, ""active_votes"": 1, ""proposals_authored"": 0}"
node,person:0x08ee81c0e9c591c65ae8b373bf30b784fd2498c8,person,0x08ee...98c8,,,active,34.79,,,,/community/0x08ee-98c8/,"{""eth_received"": 0.0, ""usdc_received"": 0.0, ""gnars_received"": 0.0, ""active_votes"": 7, ""proposals_authored"": 0}"
