person_id,slug,display_name,address,status,role,roles,tags,domains,holder_token_count,delegated_token_count,active_votes,votes_count,attendance_pct,like_pct,proposals_authored_count,votes_cast_count,eth_received,usdc_received,gnars_received,fungible_transfer_count,nft_received_count,member_url,farcaster,github,authored_proposals,owned_projects,related_projects,notes
0xe5f6...8beb,0xe5f6-8beb,0xe5f6...8beb,0xe5f6202ff7ddc5273c249073865bc6f4d5d68beb,active,community member,,contributor|recipient,,0,0,0,0,,,0,0,1.5,24915.0,0.0,6,11,https://www.gnars.com/members/0xe5f6202ff7ddc5273c249073865bc6f4d5d68beb,,,,,,
0xe1b9...9641,0xe1b9-9641,0xe1b9...9641,0xe1b91eb3f3747d00485e95da79041e6d9d399641,active,community member,,contributor|recipient,,0,0,0,0,,,0,0,0.0,16116.0,0.0,1,7,https://www.gnars.com/members/0xe1b91eb3f3747d00485e95da79041e6d9d399641,,,,,,
0xbb4e...ef62,0xbb4e-ef62,0xbb4e...ef62,0xbb4e936d0f29a515757c518fa883794c4048ef62,active,community member,,athlete|contributor|delegate|holder|proposer|recipient,,1,1,1,18,17,100,2,16,0.0,15964.0,0.0,2,0,https://www.gnars.com/members/0xbb4e936d0f29a515757c518fa883794c4048ef62,,,gnars-base-15|gnars-base-19,,,
0x3f51...f7f2,0x3f51-f7f2,0x3f51...f7f2,0x3f5111e64c0b96cc6b436151da820a3f979ef7f2,active,community member,,contributor|recipient,,0,0,0,0,,,0,0,0.0,12000.0,0.0,1,0,https://www.gnars.com/members/0x3f5111e64c0b96cc6b436151da820a3f979ef7f2,,,,,,
0x7351...53f8,0x7351-53f8,0x7351...53f8,0x735135ff4152b3ae255ca708eb37d83b0a8853f8,active,community member,,contributor|delegate|holder|proposer|recipient,,1,1,1,9,9,89,1,7,0.00026671,9900.0,0.0,2,1,https://www.gnars.com/members/0x735135ff4152b3ae255ca708eb37d83b0a8853f8,,,gnars-base-20,,,
0x33bb...63ea,0x33bb-63ea,0x33bb...63ea,0x33bbf6e27ce7b254e537bcb9f3b00cd1451563ea,active,community member,,contributor|delegate|holder|proposer|recipient,,14,14,14,32,31,94,6,23,3.390042,9686.0,0.0,6,0,https://www.gnars.com/members/0x33bbf6e27ce7b254e537bcb9f3b00cd1451563ea,,,gnars-base-105|gnars-base-106|gnars-base-25|gnars-base-54|gnars-base-55|gnars-base-56,,,
0xb2b7...5e9d,0xb2b7-5e9d,0xb2b7...5e9d,0xb2b7d66bb56ce8ff7838dc8053ff35050ed95e9d,active,community member,,contributor|delegate|holder|proposer|recipient,,35,154,154,65,63,83,2,67,0.0,9600.0,0.0,2,0,https://www.gnars.com/members/0xb2b7d66bb56ce8ff7838dc8053ff35050ed95e9d,,,gnars-base-13|gnars-base-16,,,
0x709a...a68a,0x709a-a68a,0x709a...a68a,0x709a480188cf171b1672438e28bbec3ba2d3a68a,active,community member,,contributor|recipient,,0,0,0,0,,,0,0,0.0,8639.0,0.0,2,0,https://www.gnars.com/members/0x709a480188cf171b1672438e28bbec3ba2d3a68a,,,,,,
0xc407...3c28,0xc407-3c28,0xc407...3c28,0xc4079dc1f8f84711eee0942c192829f473fc3c28,active,community member,,contributor|recipient,,0,0,0,0,,,0,0,0.0,8000.0,0.0,1,0,https://www.gnars.com/members/0xc4079dc1f8f84711eee0942c192829f473fc3c28,,,,,,
0xfc27...a45b,0xfc27-a45b,0xfc27...a45b,0xfc27b375faf1fbd3f3462044cf810082f042a45b,active,community member,,athlete|contributor|delegate|holder|proposer|recipient,,30,30,30,38,37,97,3,47,0.0,7888.0,0.0,1,0,https://www.gnars.com/members/0xfc27b375faf1fbd3f3462044cf810082f042a45b,,,gnars-base-18|gnars-base-28|snapshot-0x30847f96110952ed83c1aa78c09b5cc11ef1076614560efd29de73e8b9b18894,,,
0x0a7b...442e,0x0a7b-442e,0x0a7b...442e,0x0a7b7374d9cba3ac9d31f18b2cd45aac4b3b442e,active,community member,,contributor|recipient,,0,0,0,0,,,0,0,0.0,7870.0,0.0,1,0,https://www.gnars.com/members/0x0a7b7374d9cba3ac9d31f18b2cd45aac4b3b442e,,,,,,
0x459b...69de,0x459b-69de,0x459b...69de,0x459b40643251f10d93334d91cf256f97d31f69de,active,community member,,contributor|recipient,,0,0,0,0,,,0,0,0.0,7500.0,0.0,1,0,https://www.gnars.com/members/0x459b40643251f10d93334d91cf256f97d31f69de,,,,,,
0x9d4e...937f,0x9d4e-937f,0x9d4e...937f,0x9d4e88f7f2ccbb005426c1ed91eb2bb7d235937f,active,community member,,contributor|recipient,,0,0,0,0,,,0,0,0.0,6969.0,0.0,1,0,https://www.gnars.com/members/0x9d4e88f7f2ccbb005426c1ed91eb2bb7d235937f,,,,,,
0xed7b...13f4,0xed7b-13f4,0xed7b...13f4,0xed7be8b630924f437c28af58a99cc63fc80413f4,active,community member,,contributor|delegate|holder|proposer|recipient,,4,4,4,3,3,100,1,3,0.0,6850.0,0.0,1,0,https://www.gnars.com/members/0xed7be8b630924f437c28af58a99cc63fc80413f4,,,gnars-base-40,,,
0xe8b2...599d,0xe8b2-599d,0xe8b2...599d,0xe8b290f49c2fb50ab018d89626e77c2321dc599d,active,community member,,contributor|recipient,,0,0,0,0,,,0,0,3.0,5500.0,0.0,2,0,https://www.gnars.com/members/0xe8b290f49c2fb50ab018d89626e77c2321dc599d,,,,,,
0x387a...fffd,0x387a-fffd,0x387a...fffd,0x387a161c6b25aa854100abaed39274e51aaffffd,active,community member,,athlete|contributor|delegate|holder|proposer|recipient,,129,134,134,60,58,97,10,93,10.35730283,4500.0,0.0,3,0,https://www.gnars.com/members/0x387a161c6b25aa854100abaed39274e51aaffffd,,,gnars-base-30|gnars-base-33|gnars-ethereum-37|gnars-ethereum-38|snapshot-0x013702a15624613befa0ed1488350610f8d98c3d71c82e240183e8692600a5f9|snapshot-0x7584dfef4e843deaddf4eba549713db9fac03438486925205570998707113dad|snapshot-0xb6f1781ada377924f11500e81735dd60170984c7976a1267027b3bd67fca93f1|snapshot-0xbafd024d57b8750da24ba3d43dc90a5b35aceacf5077cfb8a7e1b2e8e1f97894|snapshot-0xe603eb28d7152ca1e13532dd070a1c7130d48fe03477e47861e9bc6a1b9e33a5|snapshot-0xe96f074f0820aa64fda543b6b159339e38d9e94f8cdca3b72c8489ae63014029,,,
0xca8a...e986,0xca8a-e986,0xca8a...e986,0xca8adab20b66f4693ee5fce756c074a5629ae986,active,community member,,contributor|recipient,,0,0,0,0,,,0,0,0.0,3545.0,0.0,1,0,https://www.gnars.com/members/0xca8adab20b66f4693ee5fce756c074a5629ae986,,,,,,
0x43c3...7970,0x43c3-7970,0x43c3...7970,0x43c363f3821b4efe4f9d04df74c0e32db42a7970,active,community member,,athlete|contributor|delegate|holder|proposer|recipient,,2,2,2,12,12,83,2,8,0.0,3400.0,0.0,2,0,https://www.gnars.com/members/0x43c363f3821b4efe4f9d04df74c0e32db42a7970,,,gnars-base-87|gnars-base-89,,,
0x2443...5c87,0x2443-5c87,0x2443...5c87,0x244306053c673b93bc9885fdacfc352032725c87,active,community member,,contributor|recipient,,0,0,0,0,,,0,3,1.0,3200.0,0.0,3,0,https://www.gnars.com/members/0x244306053c673b93bc9885fdacfc352032725c87,,,,,,
0x9ad8...e1c8,0x9ad8-e1c8,0x9ad8...e1c8,0x9ad8d2a8ef4bf60a667dd43fcb178bdbd93ae1c8,active,community member,,athlete|contributor|delegate|holder|proposer|recipient,,1,1,1,2,2,100,1,0,0.42,3000.0,0.0,2,0,https://www.gnars.com/members/0x9ad8d2a8ef4bf60a667dd43fcb178bdbd93ae1c8,,,gnars-base-104,,,
0xbc94...fc12,0xbc94-fc12,0xbc94...fc12,0xbc94f5266c5f78677b98238fc93d825d25abfc12,active,community member,,contributor|recipient,,0,0,0,0,,,0,0,0.0,2650.0,0.0,2,0,https://www.gnars.com/members/0xbc94f5266c5f78677b98238fc93d825d25abfc12,,,,,,
0x49d3...2176,0x49d3-2176,0x49d3...2176,0x49d31dcb59e115f5c9e505a58a323ade076f2176,active,community member,,athlete|contributor|delegate|holder|proposer|recipient,,2,2,2,24,23,96,1,16,0.619,2600.0,0.0,2,0,https://www.gnars.com/members/0x49d31dcb59e115f5c9e505a58a323ade076f2176,,,gnars-base-101,,,
0xd2d1...b968,0xd2d1-b968,0xd2d1...b968,0xd2d164aea2a354e46ee3cf207899f48e5432b968,active,community member,,contributor|delegate|holder|recipient,,1,1,1,2,2,100,0,2,0.0,2400.0,0.0,2,0,https://www.gnars.com/members/0xd2d164aea2a354e46ee3cf207899f48e5432b968,,,,,,
0x2858...960f,0x2858-960f,0x2858...960f,0x2858eba3985476ca81217f2f8c5e65508f34960f,active,community member,,contributor|delegate|holder|proposer|recipient,,14,14,14,12,12,100,1,7,0.0,2250.0,0.0,1,0,https://www.gnars.com/members/0x2858eba3985476ca81217f2f8c5e65508f34960f,,,gnars-base-64,,,
0x0020...597e,0x0020-597e,0x0020...597e,0x0020d02026e6e82a8f002024a418c0f486bc597e,active,community member,,contributor|recipient,,0,0,0,0,,,0,0,0.0,2042.0,0.0,1,0,https://www.gnars.com/members/0x0020d02026e6e82a8f002024a418c0f486bc597e,,,,,,
fcarva,fcarva,fcarva,0xaaed9fff9858d48925904e391b77892ba5fda824,active,"community infrastructure, documentation, QA","community infrastructure, documentation, QA|operations|documentation|community infrastructure",builder|contributor|delegate|holder|member|proposer|recipient,analytics|documentation|governance|operations,8,4,4,25,24,96,1,17,0.55,1500.0,0.0,4,2,https://www.gnars.com/members/0xaaed9fff9858d48925904e391b77892ba5fda824,https://farcaster.xyz/fcarva,https://github.com/fcarva,gnars-base-111,docs-governance-revamp|operations-q1-2026,docs-governance-revamp|operations-q1-2026,Author of proposal 111 and contributor on the Q1 2026 operations workstream. Seed override for the current gnars-data operator and proposal 111 author.
0xddd7...645f,0xddd7-645f,0xddd7...645f,0xddd7c01cecdbd0ac633ef7405a60165f731e645f,active,community member,,athlete|contributor|delegate|holder|proposer|recipient,,3,3,3,15,15,100,4,10,0.0,1350.0,0.0,1,0,https://www.gnars.com/members/0xddd7c01cecdbd0ac633ef7405a60165f731e645f,,,gnars-base-77|gnars-base-80|gnars-base-94|gnars-base-95,,,
r4topunk,r4topunk,r4topunk,0x39a7b6fa1597bb6657fe84e64e3b836c37d6f75d,active,"web development, data pipelines","operations|web development|data pipelines|web development, data pipelines",builder|contributor|delegate|holder|member|proposer|recipient,data-pipelines|governance|operations|web,82,41,41,70,68,78,3,47,0.6001,1200.0,0.0,3,5,https://www.gnars.com/members/0x39a7b6fa1597bb6657fe84e64e3b836c37d6f75d,https://farcaster.xyz/r4topunk,,gnars-base-118|gnars-base-45|gnars-base-78,operations-q1-2026,operations-q1-2026,Technical lead for web development and governance/data pipeline infrastructure. Seed override for the current web and data contributor.
vlad,vlad,vlad,0x8bf5941d27176242745b716251943ae4892a3c26,active,"technical lead, AI infrastructure","operations|AI infrastructure|technical lead, AI infrastructure|technical lead",builder|contributor|delegate|holder|member|recipient,agents|ai|infrastructure|operations,70,151,151,8,8,63,0,5,0.6,1200.0,0.0,2,5,https://www.gnars.com/members/0x8bf5941d27176242745b716251943ae4892a3c26,,,,operations-q1-2026,operations-q1-2026,Maintains AI-native operational systems and shared infrastructure. Seed override for the technical lead listed in the operations workstream.
0xeed9...a282,0xeed9-a282,0xeed9...a282,0xeed943aa972dd394146e6f77b9434df07f36a282,active,community member,,athlete|contributor|delegate|holder|proposer|recipient,,8,8,8,47,46,81,4,34,0.0004,1000.0,0.0,2,1,https://www.gnars.com/members/0xeed943aa972dd394146e6f77b9434df07f36a282,,,gnars-base-22|gnars-base-26|gnars-base-47|gnars-base-81,,,
0x057c...2fde,0x057c-2fde,0x057c...2fde,0x057cfcd04198e6d17f1bf502135d9508b6fa2fde,active,community member,,athlete|contributor|delegate|holder|proposer|recipient,,10,59,59,31,30,94,1,18,0.0,612.0,0.0,1,0,https://www.gnars.com/members/0x057cfcd04198e6d17f1bf502135d9508b6fa2fde,,,gnars-base-112,,,
0x41cb...be4a,0x41cb-be4a,0x41cb...be4a,0x41cb654d1f47913acab158a8199191d160dabe4a,active,community member,,athlete|contributor|proposer|recipient,,0,0,0,0,,,20,141,0.0,400.0,0.0,2,0,https://www.gnars.com/members/0x41cb654d1f47913acab158a8199191d160dabe4a,,,gnars-base-102|gnars-base-14|gnars-base-17|gnars-base-21|gnars-base-41|gnars-base-53|gnars-base-57|gnars-snapshot-99|snapshot-0x31563b41a9581f2cac219a22d6ed5c8fbf4a639c427cd3a627b0668ce14f2a55|snapshot-0x3dcb9566427c72d318242451eac0e8e37ec338f63c4813ffcbf9cffc7603f188|snapshot-0x6100932649facab93f27106b0f8bf28194edb952e5c0866b9c297b850d72cedb|snapshot-0x78476546b12ebbc53d842edf6e3987431b0f8ab7ed0fcbc707d0328e98edc0c6|snapshot-0xa0681871875f12ad4bbaf9c56f16b8c9daf145929e3cd08d00978dfbd0a0af80|snapshot-0xb30fc7e82ffd81902641f4cd2c15a4604d149645cc057b49ababd99ad8346379|snapshot-0xb63306dbfe950dd9754d5edcf8f48c6ff9bdd32eeeff4c644cb90c974a3055fa|snapshot-0xb7fb4de0ccada5bc44a3130e1204e38184b015c81f4b00b750b60af3f1ed400e|snapshot-0xde53e95d97d4c5660423d33a75630a9fb89c85c7773c172f3df9e39dd3546cf2|snapshot-0xe13a7551f6ee674f29beee0f80193c0e7540b1b9286c6d646738c01e24e0f0e7|snapshot-0xf04f84af1ddc77f851a4caa2f2d9685641cc65238f73467b5dcfae1b79d04997|snapshot-0xf18418210c6bb7a3ff8951d9e0e87c2faaf7a2808be98ef4d96c279bed606bae,,,
0x2897...c84f,0x2897-c84f,0x2897...c84f,0x289715ffbb2f4b482e2917d2f183feab564ec84f,active,community member,,athlete|contributor|delegate|holder|proposer|recipient,,2,2,2,6,6,100,2,6,1.0,0.0,0.0,1,0,https://www.gnars.com/members/0x289715ffbb2f4b482e2917d2f183feab564ec84f,,,gnars-base-23|gnars-base-86,,,
0x5979...8db0,0x5979-8db0,0x5979...8db0,0x597960438e28e3b529dcea95c267dc9cfc458db0,active,community member,,athlete|contributor|delegate|holder|proposer|recipient,,2,2,2,1,1,100,1,1,0.8,0.0,0.0,1,0,https://www.gnars.com/members/0x597960438e28e3b529dcea95c267dc9cfc458db0,,,gnars-base-27,,,
0x05c7...73bd,0x05c7-73bd,0x05c7...73bd,0x05c73ecef963fd68a414e713f4b28d9e792c73bd,active,community member,,athlete|contributor|delegate|holder|proposer|recipient,,6,6,6,4,4,100,1,2,0.75,0.0,0.0,1,0,https://www.gnars.com/members/0x05c73ecef963fd68a414e713f4b28d9e792c73bd,,,gnars-base-103,,,
0xedc1...e7e1,0xedc1-e7e1,0xedc1...e7e1,0xedc1a397589a0236c4810883b7d559288a5fe7e1,active,community member,,contributor|delegate|holder|proposer|recipient,,110,110,110,15,15,93,2,38,0.43,0.0,0.0,1,0,https://www.gnars.com/members/0xedc1a397589a0236c4810883b7d559288a5fe7e1,,,gnars-base-38|gnars-ethereum-35,,,
0x4d16...ecb1,0x4d16-ecb1,0x4d16...ecb1,0x4d16fce1bd6e327ae31398ce9a2c4e12c077ecb1,active,community member,,contributor|delegate|holder|proposer|recipient,,12,15,15,13,13,85,1,7,0.4,0.0,0.0,1,0,https://www.gnars.com/members/0x4d16fce1bd6e327ae31398ce9a2c4e12c077ecb1,,,gnars-base-113,,,
0xba6e...acf5,0xba6e-acf5,0xba6e...acf5,0xba6e1c26be2f8b46d9e7ab7573b99921ee81acf5,active,community member,,contributor|delegate|holder|proposer|recipient,,14,14,14,21,20,86,2,41,0.2,0.0,0.0,1,0,https://www.gnars.com/members/0xba6e1c26be2f8b46d9e7ab7573b99921ee81acf5,,,gnars-base-12|gnars-ethereum-32,,,
0xc2e3...721a,0xc2e3-721a,0xc2e3...721a,0xc2e3df2748e4ef6e1a8322772fd7d962410c721a,active,community member,,contributor|recipient,,0,0,0,0,,,0,10,0.2,0.0,0.0,1,0,https://www.gnars.com/members/0xc2e3df2748e4ef6e1a8322772fd7d962410c721a,,,,,,
0x3a7b...d68d,0x3a7b-d68d,0x3a7b...d68d,0x3a7b8d37cb2da4c3b7c897421d90f42cc015d68d,active,community member,,contributor|delegate|holder|recipient,,3,3,3,17,17,100,0,15,0.0004,0.0,0.0,1,0,https://www.gnars.com/members/0x3a7b8d37cb2da4c3b7c897421d90f42cc015d68d,,,,,,
0x10c3...d7b3,0x10c3-d7b3,0x10c3...d7b3,0x10c3a08e1cdd302eefb4d2c1a9a7779aa4ded7b3,active,community member,,contributor|delegate|holder|recipient,,1,1,1,2,2,100,0,2,0.00034,0.0,0.0,1,1,https://www.gnars.com/members/0x10c3a08e1cdd302eefb4d2c1a9a7779aa4ded7b3,,,,,,
0x9cb9...f772,0x9cb9-f772,0x9cb9...f772,0x9cb927c5632685c4365b734cfb01249d4637f772,active,community member,,athlete|contributor|delegate|holder|proposer|recipient,,2,4,4,7,7,100,1,4,0.00028,0.0,0.0,1,1,https://www.gnars.com/members/0x9cb927c5632685c4365b734cfb01249d4637f772,,,gnars-base-62,,,
0x1f39...0d2b,0x1f39-0d2b,0x1f39...0d2b,0x1f3903417cf35dea83f6a2797e89e78c7d380d2b,active,community member,,contributor|recipient,,0,0,0,0,,,0,3,0.00025,0.0,0.0,1,1,https://www.gnars.com/members/0x1f3903417cf35dea83f6a2797e89e78c7d380d2b,,,,,,
0x72ad...6f88,0x72ad-6f88,0x72ad...6f88,0x72ad986ebac0246d2b3c565ab2a1ce3a14ce6f88,active,community member,,delegate|holder,,608,608,608,0,0,0,0,0,0.0,0.0,0.0,0,0,https://www.gnars.com/members/0x72ad986ebac0246d2b3c565ab2a1ce3a14ce6f88,,,,,,
0x7093...b3ba,0x7093-b3ba,0x7093...b3ba,0x7093c7ee24c49ab814165b129bc7b5ff0993b3ba,active,community member,,delegate|holder,,312,312,312,15,15,100,0,14,0.0,0.0,0.0,0,0,https://www.gnars.com/members/0x7093c7ee24c49ab814165b129bc7b5ff0993b3ba,,,,,,
0x9a67...91fd,0x9a67-91fd,0x9a67...91fd,0x9a670ea90b3683ca6d90572b4f5cdbdd81a191fd,active,community member,,delegate|holder,,290,290,290,0,0,0,0,0,0.0,0.0,0.0,0,0,https://www.gnars.com/members/0x9a670ea90b3683ca6d90572b4f5cdbdd81a191fd,,,,,,
0x56b6...44d8,0x56b6-44d8,0x56b6...44d8,0x56b6dcddd5d96535c35b720c96e19939920544d8,active,community member,,athlete|contributor|delegate|holder|proposer,,232,232,232,45,44,100,5,93,0.0,0.0,0.0,0,0,https://www.gnars.com/members/0x56b6dcddd5d96535c35b720c96e19939920544d8,,,gnars-base-48|snapshot-0x3bb0a388713c4a70b06ccb8c1bc9ffaad80e652430955a3b1c414f6bf8e51b3a|snapshot-0x95487c3d8bac698b1fdcf66e7f0a5828b41917585e74a4e5450d8d401d00730f|snapshot-0xb98dbe42c7fee10c45eee0624cfe0ee852e4d7757eacf016d07bcb39b48e5d84|snapshot-0xd79cf66e97cce5ae64f72d01a218451f8fcadfcd7f66d8a118c37849b3b60275,,,
0xdcf3...7a19,0xdcf3-7a19,0xdcf3...7a19,0xdcf37d8aa17142f053aaa7dc56025ab00d897a19,active,community member,,contributor|delegate|holder|proposer,,22,111,111,65,63,82,2,80,0.0,0.0,0.0,0,0,https://www.gnars.com/members/0xdcf37d8aa17142f053aaa7dc56025ab00d897a19,,,gnars-base-79|snapshot-0x1353abe6679ea8aecf8505fc0a2785328adfefe358d4352d25862bd97dd2278d,,,
0x069d...eca0,0x069d-eca0,0x069d...eca0,0x069da1bad547d67abf26c42358d3a6a8a78deca0,active,community member,,athlete|contributor|delegate|holder|proposer,,100,100,100,12,12,92,1,28,0.0,0.0,0.0,0,0,https://www.gnars.com/members/0x069da1bad547d67abf26c42358d3a6a8a78deca0,,,snapshot-0x70526f9ba5616545ed8de674349307f6a6d671c7f9365552f457598026801d1a,,,
0x978b...face,0x978b-face,0x978b...face,0x978bdbecb54c54800d01055df5a8f6af600bface,active,community member,,delegate|holder,,100,100,100,0,0,0,0,0,0.0,0.0,0.0,0,0,https://www.gnars.com/members/0x978bdbecb54c54800d01055df5a8f6af600bface,,,,,,
0x9c87...7e02,0x9c87-7e02,0x9c87...7e02,0x9c87a1065994f156f0b7b87aaa8b3c5f7bd67e02,active,community member,,contributor|delegate|holder|proposer,,69,98,98,64,62,81,3,119,0.0,0.0,0.0,0,0,https://www.gnars.com/members/0x9c87a1065994f156f0b7b87aaa8b3c5f7bd67e02,,,snapshot-0xd44c38a59adc8b086ec31e9c8759b2623dbea06421bbfabd65c19d72a2559289|snapshot-0xde48f061cef8580ec5b487f8305ce12b8d31cbb29b52508382cc0d71bf46fbc5|snapshot-0xe472fc837743ed478fe98ebef15378dbae2efe519f6af18f3a34118ee5dea367,,,
0x0f73...58cc,0x0f73-58cc,0x0f73...58cc,0x0f7341c76ba4460736abec4f65a1953e824658cc,active,community member,,contributor|delegate|holder|proposer,,76,76,76,1,1,100,1,30,0.0,0.0,0.0,0,0,https://www.gnars.com/members/0x0f7341c76ba4460736abec4f65a1953e824658cc,,,snapshot-0x23cf980a45d2c4535ee96e3803538cbe6132e2ee31873ab60143ae9e4eacc041,,,
0x6b67...4ddd,0x6b67-4ddd,0x6b67...4ddd,0x6b67623ff56c10d9dcfc2152425f90285fc74ddd,active,community member,,delegate|holder,,66,66,66,6,6,100,0,8,0.0,0.0,0.0,0,0,https://www.gnars.com/members/0x6b67623ff56c10d9dcfc2152425f90285fc74ddd,,,,,,
0x9f2a...ad59,0x9f2a-ad59,0x9f2a...ad59,0x9f2a1b5c6c0f2c143cc9ac50fc15ae9e70ebad59,active,community member,,delegate|holder,,66,66,66,0,0,0,0,0,0.0,0.0,0.0,0,0,https://www.gnars.com/members/0x9f2a1b5c6c0f2c143cc9ac50fc15ae9e70ebad59,,,,,,
0x2feb...ed6a,0x2feb-ed6a,0x2feb...ed6a,0x2feb329b9289b60064904fa61fc347157a5aed6a,active,community member,,athlete|contributor|delegate|holder|proposer,,61,61,61,73,71,94,4,49,0.0,0.0,0.0,0,0,https://www.gnars.com/members/0x2feb329b9289b60064904fa61fc347157a5aed6a,,,gnars-base-100|gnars-base-119|gnars-base-39|gnars-ethereum-34,,,
0x1f5d...d8c5,0x1f5d-d8c5,0x1f5d...d8c5,0x1f5df4cd792dc3b7b19b6545d7cb33d73531d8c5,active,community member,,delegate|holder,,59,59,59,0,0,0,0,22,0.0,0.0,0.0,0,0,https://www.gnars.com/members/0x1f5df4cd792dc3b7b19b6545d7cb33d73531d8c5,,,,,,
0xa341...d2de,0xa341-d2de,0xa341...d2de,0xa3418ac70bad35e7a3009c2c4c27120a0cbbd2de,active,community member,,delegate|holder,,58,58,58,0,0,0,0,9,0.0,0.0,0.0,0,0,https://www.gnars.com/members/0xa3418ac70bad35e7a3009c2c4c27120a0cbbd2de,,,,,,
0xd4f2...c87d,0xd4f2-c87d,0xd4f2...c87d,0xd4f20b86ab05e5e91cecfefe874657b0f7bfc87d,active,community member,,delegate|holder,,58,58,58,6,6,0,0,1,0.0,0.0,0.0,0,0,https://www.gnars.com/members/0xd4f20b86ab05e5e91cecfefe874657b0f7bfc87d,,,,,,
0x000a...d74a,0x000a-d74a,0x000a...d74a,0x000ab07b26c48ef3caf9ec23520d86794c9fd74a,active,community member,,delegate|holder,,46,46,46,0,0,0,0,2,0.0,0.0,0.0,0,0,https://www.gnars.com/members/0x000ab07b26c48ef3caf9ec23520d86794c9fd74a,,,,,,
0xbfed...ea17,0xbfed-ea17,0xbfed...ea17,0xbfed6e8e48f6bb944f241319a68b8b8d36c1ea17,active,community member,,delegate|holder,,45,45,45,0,0,0,0,0,0.0,0.0,0.0,0,0,https://www.gnars.com/members/0xbfed6e8e48f6bb944f241319a68b8b8d36c1ea17,,,,,,
